P_max,Omega,Gamma_e,Delta_1,number_of_fails,ComputTime
0.024037037537619,0.327256613117242,0.02238721,0.4,0,634.483435630798
0.0179924339246546,0.328303676927116,0.02238721,0.5,0,658.997978687286
0.0138212312152039,0.329148671349209,0.02238721,0.6,0,615.692356824875
0.0108818546727903,0.329858827631535,0.02238721,0.7,0,619.30547618866
0.0087123381383662,0.330472339509569,0.02238721,0.8,0,592.520146846771
0.0070603551254314,0.331018900296607,0.02238721,0.9,0,625.02728843689
0.0057847762643616,0.331502217290476,0.02238721,1.0,0,577.373737573624
0.0047927051530178,0.331940554512361,0.02238721,1.1,0,677.196856975555
0.0040155472115968,0.332342193029992,0.02238721,1.2,0,633.222272157669
0.0034013296072018,0.332710443588912,0.02238721,1.3,0,710.041191339493
0.0029108908922814,0.333048459815209,0.02238721,1.4,0,652.664767503738
0.0025148126968306,0.333361662862413,0.02238721,1.5,0,557.772105932236
0.0021916938008463,0.33365645019755,0.02238721,1.6,0,628.483237981796
0.0019252906349011,0.333937573182079,0.02238721,1.7,0,670.900847434998
0.0017034652887003,0.334198378614725,0.02238721,1.8,0,688.080385923386
0.0015171059225111,0.334439507449481,0.02238721,1.9,0,618.289143562317
0.0013593785490646,0.334678126963421,0.02238721,2.0,0,612.14973282814
0.0012247020362706,0.334900007824298,0.02238721,2.1,0,695.050567865372
0.0011088308371848,0.335090479261303,0.02238721,2.2,0,606.595786094666
0.0010087744515419,0.335314080758307,0.02238721,2.3,0,549.870368480682
0.0009215561239616,0.335507004337227,0.02238721,2.4,0,663.487829208374
0.000845155968394,0.335691802810077,0.02238721,2.5,0,597.642291784287
