P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,Delta1,Delta2,number_of_fails,ComputTime
0.0006462839153678,1.03382884480987,52.797343287692,1.09193406150094,0.0918624869457882,0.01,18.9,-18.9,0,71094.3704531193
0.0006428861882139,1.03383306976156,53.0766044579804,1.09145034269712,0.0913803710381847,0.01,19.0,-19.0,0,44761.0298788548
0.0006395239967441,1.03383671254113,53.3559036494024,1.09097335948246,0.0909034535638348,0.01,19.1,-19.1,0,3663.40579628944
0.0005370044310977,1.03396517769982,31.2798659952185,1.02038925383696,0.0,0.01,19.2,-19.2,2,8417.15489983559
0.0005342234381095,1.0339651351583,31.4428582255391,1.0202853168445,0.0,0.01,19.3,-19.3,0,116336.139386177
0.0005314710992005,1.03396852078122,31.6057830914507,1.02017675121647,0.0,0.01,19.4,-19.4,1,37253.8376719952
0.0006264196674962,1.03385039871092,54.4730711312399,1.08910675150956,0.0890451109290437,0.01,19.5,-19.5,2,76672.9527058601
0.0005260506303326,1.03397114746501,31.9316186164821,1.01997258852526,0.0,0.01,19.6,-19.6,0,6814.74752473831
0.0005233816459725,1.03397332016363,32.094505519175,1.01986801381356,0.0,0.01,19.7,-19.7,0,3878.86301589012
0.0027668761541136,0.241436004689037,0.205456122635322,14.2570919942142,10.1684634888121,0.01,19.8,-19.8,1,210425.0187397
0.0018939819914622,0.401653227150637,0.1220418638821,11.272801276675,1.0850228930598,0.01,19.9,-19.9,0,113681.436456919
0.0006107755368375,1.0338605468748,55.8695489878606,1.08688297174166,0.0868254210431052,0.01,20.0,-20.0,4,77245.3653407097
0.0005129711374634,1.03397754890956,32.7462145197206,1.01947061747621,0.0,0.01,20.1,-20.1,0,30726.6255226135
0.0005104328977013,1.03397862172977,32.909176429406,1.01937641387132,0.0,0.01,20.2,-20.2,1,38396.0773990154
0.0005079196520905,1.03397710542666,33.0721133220792,1.01928083308515,2.4934996400886702e-14,0.01,20.3,-20.3,1,46892.4824397564
0.0005054310332812,1.03398259146197,33.2349839579443,1.01918253017557,0.0,0.01,20.4,-20.4,0,53177.1621499062
0.0005029666810817,1.03398304482348,33.3980273358865,1.01909110896457,0.0,0.01,20.5,-20.5,1,71584.9959814549
0.0005005262422989,1.03398319549004,33.5609168829729,1.01899736053216,0.0,0.01,20.6,-20.6,0,29614.7112555504
0.0004981093705452,1.03398588249208,33.7237799808292,1.01890830859563,0.0,0.01,20.7,-20.7,1,35387.7213654518
0.0004957157261126,1.03398887697685,33.8867686118914,1.01881185498902,0.0,0.01,20.8,-20.8,2,36995.7952008247
0.0004933449757634,1.03399083639075,34.0497073097491,1.01872527388417,0.0,0.01,20.9,-20.9,1,27425.3077070713
0.0004909967926367,1.03398567278143,34.2126010247361,1.0186349541438,0.0,0.01,21.0,-21.0,0,61922.2298741341
